id;sexe;usage_vehicule;type_vehicule;‰ge_vehicule;points_perdus_logical;type_conduite;formule;date_demande;etat_dossier;‰ge_client;tarif_intervalle;revenus_intervalle;enfants_logical;enfant_conduite_accompagne_logical;est_rouge
1;F;Commercial;Sports Car;7.0;NO;Highly Urban/ Urban;dev_integral;25/02/2022 16:13;complet;24;"[250Û;325Û]";[>100k];YES;FAUX;NO
2;F;Private;Minivan;1.0;YES;Highly Urban/ Urban;dev_express;24/05/2022 21:07;complet;92;"[250Û;325Û]";"[40k;60k]";YES;VRAI;NO
3;F;Private;Pickup;4.0;NO;Highly Rural/ Rural;dev_express;24/01/2022 08:17;complet;45;"[250Û;325Û]";"[20k;40k]";YES;FAUX;NO
4;F;Private;SUV;5.0;YES;Highly Urban/ Urban;dev_integral;20/04/2022 03:46;complet;3;"[250Û;325Û]";[<20k];NO;FAUX;NO
5;M;Commercial;Panel Truck;12.0;YES;Highly Urban/ Urban;dev_vip;23/03/2022 01:32;complet;68;"[575Û;650Û]";[<20k];NO;FAUX;NO
6;F;Private;SUV;15.0;YES;Highly Rural/ Rural;dev_premium;23/03/2022 22:20;complet;32;"[400Û;500Û]";"[60k;80k]";YES;FAUX;NO
7;F;Commercial;Minivan;9.0;NO;Highly Rural/ Rural;dev_express;13/03/2022 01:10;complet;83;"[250Û;325Û]";[>100k];YES;VRAI;NO
8;M;Private;SUV;10.0;YES;Highly Urban/ Urban;dev_premium;09/03/2022 03:43;complet;68;"[325Û;400Û]";"[40k;60k]";NO;FAUX;NO
9;M;Private;Minivan;14.0;NO;Highly Urban/ Urban;dev_premium;29/01/2022 10:17;complet;68;"[325Û;400Û]";[>100k];NO;FAUX;NO
10;F;Commercial;Panel Truck;10.0;YES;Highly Urban/ Urban;dev_integral;26/03/2022 07:37;complet;50;"[250Û;325Û]";[<20k];NO;FAUX;YES
11;F;Private;Minivan;10.0;NO;Highly Urban/ Urban;dev_express;26/05/2022 05:51;complet;57;"[250Û;325Û]";"[20k;40k]";YES;VRAI;NO
12;M;Private;SUV;1.0;NO;Highly Urban/ Urban;dev_premium;27/01/2022 09:33;complet;7;"[325Û;400Û]";"[20k;40k]";YES;FAUX;NO
13;F;Private;SUV;18.0;NO;Highly Urban/ Urban;dev_express;08/05/2022 13:32;complet;73;"[250Û;325Û]";"[60k;80k]";NO;FAUX;NO
14;M;Commercial;Van;6.0;YES;Highly Rural/ Rural;dev_integral;02/05/2022 08:44;complet;6;"[250Û;325Û]";[<20k];NO;FAUX;NO
15;M;Private;Minivan;1.0;NO;Highly Urban/ Urban;dev_integral;15/04/2022 13:09;complet;78;"[250Û;325Û]";"[20k;40k]";YES;FAUX;NO
16;M;Private;Minivan;13.0;NO;Highly Urban/ Urban;dev_express;11/05/2022 02:24;complet;86;"[250Û;325Û]";"[40k;60k]";NO;FAUX;NO
17;F;Private;SUV;15.0;NO;Highly Urban/ Urban;dev_integral;12/04/2022 01:20;complet;51;"[250Û;325Û]";[>100k];NO;FAUX;NO
18;F;Commercial;Van;8.0;YES;Highly Urban/ Urban;dev_express;04/03/2022 09:15;complet;88;"[250Û;325Û]";"[40k;60k]";NO;FAUX;YES
19;F;Private;Minivan;11.0;NO;Highly Urban/ Urban;dev_express;05/02/2022 17:39;complet;69;"[250Û;325Û]";"[60k;80k]";NO;FAUX;YES
20;F;Private;SUV;10.0;NO;Highly Urban/ Urban;dev_integral;25/04/2022 14:43;complet;84;"[250Û;325Û]";"[40k;60k]";NO;FAUX;NO
21;M;Private;Minivan;16.0;NO;Highly Rural/ Rural;dev_express;20/03/2022 03:44;complet;35;"[250Û;325Û]";"[60k;80k]";YES;FAUX;NO
22;M;Private;Minivan;inconnu;YES;Highly Urban/ Urban;dev_premium;27/03/2022 09:22;complet;92;"[325Û;400Û]";"[20k;40k]";YES;VRAI;NO
23;F;Commercial;Van;7.0;NO;Highly Urban/ Urban;dev_premium;16/05/2022 02:39;complet;24;"[325Û;400Û]";[<20k];NO;FAUX;YES
24;F;Commercial;Sports Car;1.0;YES;Highly Urban/ Urban;dev_premium;06/02/2022 07:52;complet;83;"[400Û;500Û]";"[40k;60k]";YES;FAUX;NO
25;M;Commercial;Pickup;1.0;YES;Highly Urban/ Urban;dev_express;27/04/2022 15:06;complet;19;"[250Û;325Û]";"[20k;40k]";NO;FAUX;NO
26;M;Private;Minivan;inconnu;YES;Highly Rural/ Rural;dev_express;13/04/2022 00:52;complet;66;"[250Û;325Û]";[<20k];NO;FAUX;YES
27;F;Private;Sports Car;1.0;NO;Highly Rural/ Rural;dev_integral;22/03/2022 13:32;complet;25;"[250Û;325Û]";"[40k;60k]";NO;FAUX;NO
28;F;Private;SUV;inconnu;YES;Highly Urban/ Urban;dev_integral;22/04/2022 03:39;complet;45;"[250Û;325Û]";"[60k;80k]";NO;FAUX;NO
29;F;Private;SUV;1.0;NO;Highly Urban/ Urban;dev_vip;23/03/2022 22:44;complet;55;"[800Û;1000Û]";"[40k;60k]";NO;FAUX;NO
30;F;Private;SUV;17.0;NO;Highly Urban/ Urban;dev_premium;12/02/2022 20:23;complet;17;"[325Û;400Û]";[>100k];NO;FAUX;NO
31;F;Private;SUV;1.0;NO;Highly Urban/ Urban;dev_express;14/01/2022 07:11;complet;49;"[250Û;325Û]";"[20k;40k]";YES;FAUX;NO
32;M;Commercial;Minivan;5.0;YES;Highly Rural/ Rural;dev_integral;09/04/2022 11:49;complet;39;"[250Û;325Û]";"[20k;40k]";YES;FAUX;YES
33;F;Private;SUV;9.0;YES;Highly Urban/ Urban;dev_express;23/03/2022 06:12;complet;66;"[250Û;325Û]";[>100k];NO;FAUX;NO
34;M;Private;SUV;6.0;YES;Highly Rural/ Rural;dev_premium;04/02/2022 17:14;complet;6;"[400Û;500Û]";"[20k;40k]";NO;FAUX;NO
35;M;Private;Sports Car;12.0;NO;Highly Urban/ Urban;dev_express;05/02/2022 18:50;complet;46;"[250Û;325Û]";"[60k;80k]";YES;VRAI;NO
36;F;Private;SUV;9.0;NO;Highly Urban/ Urban;dev_integral;08/02/2022 09:59;complet;69;"[250Û;325Û]";"[20k;40k]";NO;FAUX;NO
37;F;Commercial;Sports Car;15.0;NO;Highly Urban/ Urban;dev_express;06/02/2022 22:30;complet;62;"[250Û;325Û]";"[20k;40k]";NO;FAUX;NO
38;F;Private;SUV;14.0;YES;Highly Urban/ Urban;dev_integral;09/02/2022 14:28;complet;8;"[250Û;325Û]";"[80k;100k]";YES;FAUX;NO
39;F;Private;Minivan;15.0;NO;Highly Urban/ Urban;dev_integral;26/05/2022 21:39;complet;57;"[250Û;325Û]";[>100k];NO;FAUX;NO
40;M;Private;SUV;11.0;YES;Highly Rural/ Rural;dev_premium;04/03/2022 15:36;complet;35;"[400Û;500Û]";"[40k;60k]";NO;FAUX;NO
41;F;Private;Sports Car;10.0;NO;Highly Urban/ Urban;dev_express;31/05/2022 13:11;complet;20;"[250Û;325Û]";[<20k];YES;VRAI;NO
42;F;Private;SUV;8.0;YES;Highly Urban/ Urban;dev_express;30/04/2022 23:20;complet;87;"[250Û;325Û]";[<20k];YES;FAUX;NO
43;M;Commercial;Pickup;10.0;NO;Highly Urban/ Urban;dev_express;20/03/2022 04:00;complet;60;"[250Û;325Û]";[<20k];YES;FAUX;YES
44;F;Private;Pickup;inconnu;NO;Highly Urban/ Urban;dev_premium;02/04/2022 11:25;complet;59;"[400Û;500Û]";"[40k;60k]";YES;VRAI;YES
45;M;Private;SUV;13.0;NO;Highly Urban/ Urban;dev_integral;02/01/2022 20:05;complet;53;"[250Û;325Û]";"[60k;80k]";NO;FAUX;NO
46;F;Private;SUV;15.0;YES;Highly Urban/ Urban;dev_express;24/02/2022 21:52;complet;67;"[250Û;325Û]";"[80k;100k]";NO;FAUX;NO
47;M;Private;SUV;1.0;YES;Highly Urban/ Urban;dev_express;05/04/2022 02:47;complet;78;"[250Û;325Û]";[<20k];YES;FAUX;NO
48;F;Commercial;Panel Truck;13.0;YES;Highly Urban/ Urban;dev_integral;21/02/2022 11:50;complet;42;"[250Û;325Û]";[>100k];NO;FAUX;YES
49;M;Commercial;Van;7.0;NO;Highly Urban/ Urban;dev_integral;21/03/2022 00:37;complet;78;"[250Û;325Û]";"[80k;100k]";NO;FAUX;YES
50;F;Private;Van;1.0;YES;Highly Rural/ Rural;dev_integral;03/04/2022 12:30;complet;40;"[250Û;325Û]";"[40k;60k]";YES;VRAI;YES
51;F;Commercial;Pickup;1.0;YES;Highly Urban/ Urban;dev_integral;28/03/2022 23:57;complet;26;"[250Û;325Û]";"[20k;40k]";NO;FAUX;YES
52;F;Private;Minivan;5.0;YES;Highly Urban/ Urban;dev_express;21/03/2022 07:59;complet;50;"[250Û;325Û]";"[40k;60k]";YES;FAUX;NO
53;M;Private;Minivan;7.0;NO;Highly Urban/ Urban;dev_express;23/05/2022 09:33;complet;20;"[250Û;325Û]";[>100k];NO;FAUX;NO
54;F;Private;Sports Car;19.0;NO;Highly Urban/ Urban;dev_express;03/05/2022 20:20;complet;48;"[250Û;325Û]";"[40k;60k]";NO;FAUX;NO
55;F;Commercial;Minivan;8.0;YES;Highly Rural/ Rural;dev_express;11/04/2022 14:51;complet;7;"[250Û;325Û]";"[60k;80k]";NO;FAUX;NO
56;M;Private;Van;13.0;NO;Highly Urban/ Urban;dev_premium;05/01/2022 09:29;complet;50;"[325Û;400Û]";"[60k;80k]";NO;FAUX;NO
57;F;Commercial;Van;9.0;YES;Highly Urban/ Urban;dev_integral;14/05/2022 13:46;complet;57;"[250Û;325Û]";"[40k;60k]";YES;FAUX;YES
58;M;Private;SUV;12.0;YES;Highly Urban/ Urban;dev_express;20/04/2022 10:04;complet;34;"[250Û;325Û]";"[60k;80k]";NO;FAUX;NO
59;F;Private;Van;1.0;NO;Highly Urban/ Urban;dev_express;22/01/2022 11:01;complet;73;"[250Û;325Û]";"[20k;40k]";YES;VRAI;YES
60;F;Private;Sports Car;7.0;YES;Highly Urban/ Urban;dev_express;26/04/2022 16:17;complet;31;"[250Û;325Û]";"[20k;40k]";YES;VRAI;NO
